team_name,overall_rating,attack_rating,midfield_rating,defence_rating,avg_age
Manchester City,85,86,87,84,26.82
Arsenal,83,83,85,82,24.91
Liverpool,83,84,80,83,26.27
Aston Villa,81,83,79,78,25.73
Manchester United,81,78,78,82,24.18
Tottenham Hotspur,81,81,81,80,24.55
Newcastle United,80,80,76,73,24.91
Chelsea,79,81,79,79,22.00
West Ham United,79,78,80,78,27.27
Crystal Palace,77,75,76,76,25.18
Brighton & Hove Albion,77,75,74,77,24.91
Wolverhampton Wanderers,77,78,77,76,26.18
Brentford,77,77,75,76,26.36
Fulham,77,72,77,76,26.55
Everton,76,77,76,76,28.18
Nottingham Forest,76,76,76,74,25.00
AFC Bournemouth,76,79,75,74,25.45
Burnley,74,72,74,73,23.36
Sheffield United,73,73,71,71,24.55
Luton Town,73,71,73,71,25.36
