team_name,overall_rating,attack_rating,midfield_rating,defence_rating,avg_age
Manchester City,85,84,87,83,25.18
Arsenal,84,83,85,82,25.18
Liverpool,84,84,82,84,26.45
Chelsea,81,81,81,79,22.64
Manchester United,81,81,80,81,26.27
Tottenham Hotspur,81,81,81,83,25.36
Aston Villa,80,85,80,80,26.09
Newcastle United,80,80,82,79,26.45
West Ham United,79,77,80,78,28.00
Crystal Palace,78,78,78,77,25.27
Nottingham Forest,77,77,77,78,26.36
Brighton & Hove Albion,77,77,75,78,24.55
Wolverhampton Wanderers,77,76,77,77,26.64
Fulham,77,75,76,77,27.64
AFC Bournemouth,77,78,76,76,24.82
Everton,76,76,76,76,29.27
Leicester City,76,77,76,75,25.00
Brentford,76,79,76,76,26.00
Southampton,75,75,73,74,25.55
Ipswich Town,74,73,74,74,25.82
